n,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 6, 0, 0, 13
2, 1, 0, 12, 2, 2, 20
3, 2, 0, 21, 5, 2, 26
4, 5, 0, 18, 12, 4, 29
5, 7, 0, 19, 20, 7, 44
6, 10, 0, 25, 25, 8, 39
7, 12, 0, 24, 31, 11, 41
8, 16, 0, 35, 43, 13, 55
9, 20, 0, 32, 47, 14, 48
10, 21, 0, 34, 56, 16, 67
11, 26, 0, 39, 65, 19, 67
12, 31, 0, 37, 74, 22, 87
13, 34, 0, 48, 81, 24, 80
14, 37, 0, 45, 85, 25, 74
15, 43, 0, 61, 89, 25, 90
17, 52, 0, 59, 103, 29, 111
18, 58, 0, 55, 119, 32, 119
19, 62, 0, 65, 121, 33, 102
21, 69, 0, 61, 152, 36, 108
23, 75, 0, 86, 174, 43, 141
24, 84, 0, 77, 177, 41, 117
26, 94, 0, 109, 201, 46, 165
28, 102, 0, 97, 205, 52, 153
31, 116, 0, 94, 232, 57, 204
33, 129, 0, 118, 269, 67, 197
36, 146, 0, 117, 293, 72, 198
39, 158, 0, 160, 315, 79, 244
42, 177, 0, 147, 391, 86, 406
45, 193, 0, 140, 380, 92, 291
49, 215, 0, 180, 474, 107, 326
53, 239, 0, 172, 473, 116, 380
57, 263, 0, 229, 568, 128, 383
61, 288, 0, 229, 633, 140, 363
66, 317, 0, 287, 686, 143, 469
71, 347, 0, 265, 752, 159, 460
77, 389, 0, 256, 797, 185, 613
83, 417, 0, 351, 937, 189, 591
90, 474, 0, 333, 973, 210, 538
97, 519, 0, 461, 1110, 223, 704
105, 578, 0, 407, 1211, 245, 718
113, 637, 0, 553, 1225, 260, 807
122, 692, 0, 564, 1368, 297, 779
132, 768, 0, 663, 1592, 316, 1123
142, 840, 0, 634, 1748, 354, 1088
153, 931, 0, 600, 1846, 374, 970
165, 1002, 0, 827, 1937, 412, 1310
178, 1121, 0, 793, 2187, 450, 1305
192, 1216, 0, 723, 2398, 494, 1541
208, 1357, 0, 930, 2665, 531, 1473
224, 1486, 0, 1019, 2996, 582, 2098
242, 1630, 0, 1245, 3249, 642, 2003
261, 1769, 0, 1113, 3697, 685, 2212
282, 1948, 0, 1564, 3801, 776, 2376
304, 2155, 0, 1447, 4395, 815, 2343
328, 2337, 0, 1330, 4677, 901, 3252
354, 2559, 0, 1741, 5360, 971, 2962
382, 2805, 0, 1626, 5317, 1070, 2858
412, 3086, 0, 2471, 6270, 1132, 3822
444, 3359, 0, 1983, 6526, 1251, 3366
479, 3664, 0, 2788, 7125, 1365, 4528
517, 4018, 0, 2428, 8193, 1455, 4255
558, 4390, 0, 2459, 8633, 1611, 6002
602, 4818, 0, 3353, 9221, 1752, 5248
650, 5266, 0, 3016, 10131, 1871, 5362
701, 5740, 0, 3943, 10958, 2101, 6330
756, 6289, 0, 3482, 12423, 2232, 7086
816, 6867, 0, 4015, 13209, 2450, 8147
880, 7498, 0, 4438, 14425, 2661, 7684
950, 8211, 0, 5152, 16297, 2927, 10603
1025, 8953, 0, 5606, 17202, 3178, 8994
1106, 9827, 0, 5820, 18522, 3472, 11042
1193, 10733, 0, 7926, 20208, 3786, 11537
1287, 11692, 0, 6708, 22086, 4099, 12785
1389, 12759, 0, 7771, 24588, 4460, 15145
1498, 13954, 0, 8182, 26374, 4868, 14370
1616, 15212, 0, 8947, 29405, 5296, 15884
1744, 16596, 0, 10694, 32252, 5718, 17547
1882, 18133, 0, 11009, 34816, 6165, 19348
2030, 19744, 0, 13952, 37541, 6766, 20839
2190, 21552, 0, 12715, 41177, 7238, 21963
2363, 23559, 0, 13647, 45784, 7869, 27903
2549, 25702, 0, 15205, 47622, 8684, 26392
2751, 28010, 0, 16236, 55156, 9359, 29694
2968, 30537, 0, 19418, 59708, 10188, 32562
3202, 33243, 0, 20259, 63344, 11108, 35283
3454, 36288, 0, 21004, 70776, 11962, 39301
3727, 39483, 0, 23071, 75848, 13103, 40822
4021, 43096, 0, 24858, 82784, 14300, 47690
4338, 46956, 0, 27027, 89705, 15432, 49562
4680, 51287, 0, 29953, 98954, 16764, 54498
5049, 55829, 0, 34268, 106453, 18265, 57664
5447, 60907, 0, 36803, 116471, 19907, 64101
5877, 66367, 0, 40284, 130320, 21402, 71690
6341, 72235, 0, 43647, 140659, 23195, 76829
6841, 78597, 0, 45771, 150725, 25344, 82357
7381, 85566, 0, 52993, 158097, 27884, 84913
7963, 93105, 0, 56017, 179450, 29886, 96977
8591, 101515, 0, 62971, 194925, 32505, 104554
9268, 110528, 0, 63991, 213459, 35140, 115138
10000, 120488, 0, 72211, 229940, 38464, 129348
