n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 9, 0, 0, 4, 0, 0, 2, 0, 0, 4
2, 1, 0, 6, 1, 0, 5, 1, 0, 5, 2, 2, 12
3, 3, 2, 8, 3, 2, 7, 3, 0, 9, 7, 2, 15
4, 4, 2, 9, 6, 2, 10, 5, 0, 13, 13, 5, 20
5, 5, 2, 11, 10, 2, 10, 6, 0, 13, 18, 7, 21
6, 6, 2, 11, 15, 2, 11, 8, 0, 16, 20, 6, 22
7, 7, 2, 10, 21, 2, 14, 10, 0, 16, 25, 8, 28
8, 8, 2, 12, 28, 2, 15, 14, 0, 20, 35, 10, 33
9, 9, 2, 12, 36, 2, 18, 15, 0, 26, 43, 12, 46
10, 10, 2, 16, 45, 2, 22, 16, 0, 38, 51, 14, 46
11, 11, 2, 14, 55, 2, 24, 19, 0, 29, 60, 16, 53
12, 13, 3, 16, 66, 3, 28, 22, 0, 28, 70, 18, 56
13, 14, 3, 15, 78, 3, 32, 25, 0, 32, 76, 19, 57
14, 15, 3, 16, 91, 3, 35, 26, 0, 32, 86, 21, 65
15, 16, 3, 17, 105, 3, 43, 31, 0, 46, 98, 23, 80
16, 17, 3, 22, 120, 3, 46, 34, 0, 38, 109, 25, 77
17, 19, 4, 24, 136, 4, 49, 35, 0, 40, 121, 27, 80
18, 20, 4, 19, 153, 4, 54, 40, 0, 45, 129, 28, 89
19, 21, 4, 21, 171, 4, 58, 41, 0, 46, 140, 30, 91
20, 23, 5, 21, 190, 5, 63, 42, 0, 71, 164, 34, 142
21, 25, 6, 32, 210, 6, 94, 46, 0, 65, 173, 35, 139
22, 26, 6, 29, 231, 6, 90, 52, 0, 63, 185, 36, 132
23, 27, 6, 27, 253, 6, 99, 52, 0, 65, 199, 38, 142
25, 29, 6, 29, 300, 6, 115, 60, 0, 71, 210, 40, 161
26, 31, 7, 30, 325, 7, 117, 64, 0, 69, 224, 42, 144
27, 33, 8, 31, 351, 8, 119, 68, 0, 72, 235, 43, 146
29, 37, 10, 33, 406, 8, 238, 74, 0, 73, 261, 46, 152
