n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
30, 38, 10, 31, 435, 8, 134, 78, 0, 73, 290, 50, 162
32, 41, 11, 33, 496, 9, 151, 86, 0, 77, 321, 53, 179
33, 42, 11, 33, 528, 9, 158, 87, 0, 87, 333, 54, 188
35, 45, 12, 37, 595, 10, 214, 92, 0, 91, 342, 56, 193
37, 47, 12, 38, 666, 10, 201, 100, 0, 92, 387, 59, 581
38, 48, 12, 110, 703, 10, 353, 103, 0, 103, 404, 61, 357
40, 51, 13, 47, 780, 11, 365, 109, 0, 188, 445, 65, 432
42, 53, 13, 76, 861, 11, 462, 114, 0, 185, 472, 68, 439
45, 56, 13, 76, 990, 11, 514, 127, 0, 201, 530, 74, 298
47, 59, 14, 66, 1081, 12, 577, 133, 0, 215, 572, 78, 564
49, 62, 15, 90, 1176, 13, 637, 141, 0, 231, 662, 83, 695
52, 67, 17, 87, 1326, 15, 795, 154, 0, 275, 728, 87, 663
54, 73, 21, 113, 1431, 17, 681, 163, 0, 166, 778, 91, 546
57, 76, 21, 113, 1596, 17, 534, 165, 0, 174, 817, 96, 633
60, 79, 21, 72, 1770, 17, 598, 186, 0, 184, 928, 103, 593
63, 82, 21, 90, 1953, 17, 750, 200, 0, 226, 971, 107, 636
66, 86, 22, 85, 2145, 18, 820, 206, 0, 238, 1086, 114, 695
69, 92, 25, 90, 2346, 19, 896, 220, 0, 244, 1129, 117, 679
73, 102, 31, 89, 2628, 21, 896, 234, 0, 235, 1247, 122, 949
76, 105, 31, 100, 2850, 21, 939, 241, 0, 240, 1374, 130, 750
80, 112, 34, 91, 3160, 22, 986, 266, 0, 255, 1456, 134, 742
84, 117, 35, 85, 3486, 23, 990, 273, 0, 228, 1581, 141, 736
88, 126, 40, 91, 3828, 26, 1117, 294, 0, 250, 1709, 149, 793
93, 132, 41, 94, 4278, 27, 1207, 314, 0, 362, 1929, 158, 883
97, 139, 44, 99, 4656, 30, 1475, 333, 0, 275, 2064, 166, 946
102, 148, 48, 108, 5151, 30, 1938, 355, 0, 486, 2392, 179, 1191
107, 154, 49, 113, 5671, 31, 1687, 371, 0, 316, 2555, 185, 1181
113, 167, 56, 122, 6328, 34, 1956, 394, 0, 333, 2764, 196, 1265
118, 176, 60, 126, 6903, 34, 1946, 426, 0, 337, 2975, 205, 1448
124, 184, 62, 130, 7626, 36, 2165, 462, 0, 472, 3297, 218, 1504
130, 192, 64, 135, 8385, 38, 2369, 483, 0, 383, 3515, 226, 1553
137, 200, 65, 140, 9316, 39, 3339, 507, 0, 404, 4134, 244, 1931
144, 209, 67, 145, 10296, 41, 2866, 544, 0, 422, 4254, 253, 1863
151, 219, 70, 213, 11325, 44, 3635, 563, 0, 499, 4656, 265, 2215
158, 226, 70, 160, 12403, 44, 3471, 590, 0, 453, 5077, 278, 2525
166, 239, 75, 160, 13695, 47, 3928, 632, 0, 642, 5667, 293, 3352
174, 254, 82, 198, 15051, 48, 4595, 666, 0, 585, 6115, 307, 2834
183, 265, 84, 182, 16653, 50, 4679, 709, 0, 554, 6731, 322, 3329
192, 282, 92, 194, 18336, 54, 5367, 760, 0, 587, 7377, 338, 3347
202, 300, 100, 206, 20301, 56, 5994, 807, 0, 625, 7917, 354, 3642
212, 313, 103, 215, 22366, 59, 6531, 852, 0, 652, 8975, 373, 4122
222, 326, 106, 223, 24531, 62, 7364, 900, 0, 689, 9803, 391, 4119
233, 343, 112, 234, 27028, 66, 8111, 956, 0, 726, 10760, 409, 5036
245, 359, 116, 289, 29890, 68, 9387, 1015, 0, 792, 11615, 428, 5098
257, 377, 122, 258, 32896, 74, 9582, 1087, 0, 813, 12723, 448, 5326
270, 391, 123, 265, 36315, 75, 10494, 1127, 0, 854, 13842, 472, 5917
283, 413, 132, 272, 39903, 80, 11512, 1182, 0, 870, 15137, 495, 6523
297, 436, 141, 299, 43956, 85, 12578, 1255, 0, 924, 16564, 517, 8618
312, 458, 148, 506, 48516, 88, 16073, 1338, 0, 1012, 18170, 545, 7654
328, 484, 158, 333, 53628, 94, 15951, 1412, 0, 1069, 20418, 573, 9010
344, 507, 165, 372, 58996, 97, 17952, 1479, 0, 1169, 21797, 600, 9917
361, 535, 176, 374, 64980, 104, 21280, 1581, 0, 1470, 23855, 630, 10536
379, 568, 191, 392, 71631, 113, 21789, 1675, 0, 1253, 26687, 661, 11614
398, 595, 199, 415, 79003, 119, 23507, 1778, 0, 1304, 29008, 693, 14443
418, 626, 210, 469, 87153, 124, 26164, 1864, 0, 1398, 31756, 730, 13792
438, 650, 214, 436, 95703, 128, 28692, 1985, 0, 1448, 34862, 767, 15149
460, 680, 222, 452, 105570, 134, 33603, 2083, 0, 1685, 38037, 805, 16082
483, 714, 233, 475, 116403, 139, 36597, 2234, 0, 1779, 41784, 844, 18005
507, 751, 246, 505, 128271, 148, 40088, 2396, 0, 1737, 45850, 884, 21010
532, 790, 260, 555, 141246, 154, 53736, 2509, 0, 2120, 50549, 930, 27486
559, 834, 277, 623, 155961, 161, 50779, 2628, 0, 1897, 56387, 982, 25823
586, 869, 285, 597, 171405, 167, 56727, 2745, 0, 2535, 62058, 1031, 25762
616, 910, 296, 610, 189420, 174, 60059, 2926, 0, 2154, 67743, 1080, 28267
646, 958, 314, 660, 208335, 186, 66882, 3095, 0, 2222, 74968, 1135, 31281
678, 1008, 332, 683, 229503, 195, 79553, 3272, 0, 2511, 82390, 1187, 35237
712, 1062, 352, 860, 253116, 207, 84256, 3455, 0, 2495, 90612, 1247, 42579
747, 1116, 371, 1019, 278631, 216, 94583, 3657, 0, 2826, 99425, 1307, 42777
784, 1169, 387, 809, 306936, 226, 115816, 3884, 0, 3313, 110112, 1369, 51700
823, 1220, 399, 856, 338253, 232, 108229, 4081, 0, 3139, 121317, 1437, 56165
864, 1274, 412, 961, 372816, 243, 135909, 4330, 0, 3772, 133866, 1511, 58876
907, 1333, 428, 918, 410871, 253, 134212, 4584, 0, 3416, 146835, 1586, 69951
952, 1401, 451, 959, 452676, 270, 155211, 4849, 0, 5241, 161648, 1665, 89550
1000, 1465, 467, 1065, 499500, 284, 167954, 5169, 0, 3645, 179772, 1748, 79669
