n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 7, 0, 0, 6, 0, 0, 3, 0, 0, 3
2, 1, 0, 24, 1, 0, 8, 1, 0, 10, 2, 2, 18
3, 2, 0, 9, 3, 0, 10, 2, 0, 13, 5, 2, 18
4, 3, 0, 8, 6, 0, 10, 4, 0, 14, 11, 4, 53
5, 4, 0, 9, 10, 0, 32, 5, 0, 17, 17, 6, 30
6, 6, 1, 14, 15, 1, 14, 8, 0, 18, 22, 8, 32
7, 10, 4, 17, 21, 3, 17, 9, 0, 21, 34, 10, 41
8, 11, 4, 17, 28, 3, 20, 15, 0, 25, 32, 11, 41
9, 12, 4, 18, 36, 3, 23, 16, 0, 28, 38, 13, 46
10, 13, 4, 19, 45, 3, 29, 17, 0, 33, 50, 15, 59
