n,insertion_cmp,insertion_swaps,insertion_time,selection_cmp,selection_swaps,selection_time,merge_cmp,merge_swaps,merge_time,quick_cmp,quick_swaps,quick_time 
1, 0, 0, 5, 0, 0, 5, 0, 0, 2, 0, 0, 2
2, 1, 1, 8, 1, 1, 6, 1, 0, 6, 4, 2, 12
3, 2, 1, 9, 3, 1, 7, 3, 0, 9, 8, 3, 15
4, 4, 2, 9, 6, 2, 8, 4, 0, 11, 13, 4, 18
5, 5, 2, 9, 10, 2, 12, 6, 0, 16, 17, 7, 27
6, 10, 6, 16, 15, 4, 13, 11, 0, 18, 25, 8, 30
7, 13, 8, 17, 21, 4, 15, 14, 0, 21, 34, 11, 36
8, 20, 15, 25, 28, 5, 18, 16, 0, 23, 41, 13, 41
9, 26, 20, 31, 36, 6, 21, 20, 0, 25, 53, 16, 46
10, 34, 27, 37, 45, 7, 23, 21, 0, 27, 51, 15, 43
11, 40, 32, 41, 55, 8, 27, 26, 0, 31, 66, 20, 52
12, 44, 35, 46, 66, 9, 30, 31, 0, 47, 68, 20, 52
13, 55, 45, 54, 78, 9, 33, 36, 0, 37, 75, 21, 58
14, 59, 48, 56, 91, 10, 37, 36, 0, 37, 86, 24, 60
15, 67, 55, 64, 105, 11, 41, 41, 0, 40, 95, 26, 66
16, 70, 57, 66, 120, 13, 46, 45, 0, 43, 104, 27, 71
17, 83, 69, 78, 136, 11, 53, 50, 0, 47, 109, 30, 78
18, 92, 77, 89, 153, 11, 56, 56, 0, 50, 130, 35, 88
19, 95, 79, 88, 171, 11, 62, 59, 0, 53, 126, 34, 86
20, 114, 98, 106, 190, 16, 69, 62, 0, 85, 132, 33, 87
21, 133, 116, 124, 210, 16, 75, 67, 0, 59, 149, 36, 98
22, 154, 136, 140, 231, 18, 79, 70, 0, 62, 145, 38, 94
23, 168, 149, 152, 253, 21, 86, 79, 0, 66, 168, 43, 106
24, 182, 162, 164, 276, 22, 93, 84, 0, 70, 186, 45, 115
25, 198, 177, 179, 300, 21, 101, 90, 0, 101, 196, 51, 211
26, 211, 189, 190, 325, 23, 110, 88, 0, 75, 195, 50, 124
27, 235, 212, 212, 351, 24, 117, 97, 0, 80, 208, 55, 131
28, 241, 217, 219, 378, 23, 190, 99, 0, 84, 227, 58, 162
29, 248, 223, 240, 406, 25, 131, 103, 0, 85, 235, 59, 149
30, 255, 229, 235, 435, 27, 155, 111, 0, 106, 237, 59, 163
31, 268, 241, 297, 465, 27, 150, 113, 0, 94, 239, 61, 152
32, 280, 252, 298, 496, 26, 237, 121, 0, 145, 245, 62, 254
33, 293, 264, 358, 528, 26, 179, 126, 0, 107, 251, 63, 172
34, 321, 291, 301, 561, 31, 184, 133, 0, 105, 261, 67, 277
35, 329, 298, 312, 595, 32, 196, 138, 0, 112, 270, 64, 169
36, 357, 325, 353, 630, 31, 202, 147, 0, 116, 292, 72, 194
37, 386, 353, 363, 666, 31, 206, 154, 0, 115, 294, 71, 301
38, 415, 381, 374, 703, 33, 218, 151, 0, 116, 318, 73, 188
39, 419, 384, 375, 741, 34, 229, 157, 0, 118, 317, 80, 190
40, 458, 423, 414, 780, 37, 238, 161, 0, 121, 340, 76, 197
41, 486, 450, 442, 820, 40, 254, 166, 0, 125, 353, 84, 212
42, 508, 471, 461, 861, 37, 264, 173, 0, 129, 361, 85, 213
43, 538, 500, 490, 903, 36, 277, 180, 0, 132, 371, 87, 218
44, 544, 505, 520, 946, 39, 289, 180, 0, 134, 362, 87, 251
45, 558, 518, 506, 990, 42, 319, 182, 0, 155, 377, 92, 226
46, 580, 539, 525, 1035, 43, 317, 201, 0, 139, 428, 93, 245
47, 610, 568, 554, 1081, 44, 334, 208, 0, 143, 396, 95, 241
48, 635, 592, 582, 1128, 40, 342, 208, 0, 148, 430, 94, 251
49, 677, 633, 862, 1176, 41, 362, 214, 0, 187, 470, 100, 268
50, 716, 671, 651, 1225, 47, 365, 226, 0, 293, 445, 106, 264
51, 726, 680, 660, 1275, 48, 381, 233, 0, 156, 496, 107, 291
52, 729, 682, 669, 1326, 50, 440, 231, 0, 157, 495, 108, 286
53, 748, 700, 678, 1378, 52, 598, 237, 0, 169, 499, 110, 324
54, 800, 751, 752, 1431, 47, 423, 243, 0, 164, 531, 112, 299
55, 848, 798, 936, 1485, 48, 469, 254, 0, 181, 529, 120, 335
56, 884, 833, 900, 1540, 53, 539, 256, 0, 239, 545, 121, 359
57, 908, 856, 994, 1596, 52, 482, 261, 0, 177, 530, 120, 304
