n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time, quick_cmp, quick_swaps, quick_time 
642, 103274, 102639, 108827, 205761, 635, 63677, 5199, 0, 2948, 10109, 1873, 5263
643, 103632, 102996, 110704, 206403, 632, 64316, 5222, 0, 3081, 10113, 1911, 5283
644, 103654, 103017, 113087, 207046, 633, 64135, 5203, 0, 2932, 10650, 1838, 5979
645, 103720, 103082, 110202, 207690, 640, 64183, 5210, 0, 3006, 10503, 1867, 5458
646, 104154, 103515, 109744, 208335, 636, 64329, 5235, 0, 3747, 10022, 1901, 5382
647, 104755, 104115, 109541, 208981, 639, 63396, 5230, 0, 2973, 10889, 1858, 5475
648, 105020, 104379, 110424, 209628, 641, 64963, 5255, 0, 3001, 10085, 1904, 5328
649, 105338, 104696, 112315, 210276, 645, 65294, 5262, 0, 2981, 10058, 1880, 5845
650, 105345, 104702, 109018, 210925, 647, 66060, 5287, 0, 3166, 10652, 1902, 5460
651, 105740, 105096, 109972, 211575, 643, 65204, 5281, 0, 3065, 10584, 1862, 5723
652, 106040, 105395, 113950, 212226, 646, 64679, 5291, 0, 3030, 10343, 1901, 6013
653, 106492, 105846, 112085, 212878, 645, 65001, 5300, 0, 3235, 10335, 1932, 5278
654, 106565, 105918, 113584, 213531, 651, 67173, 5290, 0, 3117, 10840, 1885, 5789
655, 106733, 106085, 112168, 214185, 652, 65005, 5317, 0, 3272, 10674, 1897, 5467
656, 107330, 106681, 112004, 214840, 643, 67014, 5335, 0, 3107, 10607, 1913, 5402
657, 107756, 107106, 115624, 215496, 648, 66124, 5347, 0, 3195, 10468, 1922, 5386
658, 108013, 107362, 114866, 216153, 648, 68140, 5361, 0, 3104, 10687, 1913, 5642
659, 108217, 107565, 113633, 216811, 649, 65912, 5364, 0, 3030, 10580, 1923, 5405
660, 108454, 107801, 117904, 217470, 648, 66425, 5337, 0, 3033, 10661, 1915, 5554
661, 108557, 107903, 114729, 218130, 650, 67328, 5345, 0, 3030, 10903, 1901, 6167
662, 108768, 108113, 116422, 218791, 655, 67328, 5377, 0, 3113, 10633, 1941, 6104
663, 109220, 108564, 114259, 219453, 657, 68497, 5394, 0, 3090, 10566, 1932, 5363
664, 109258, 108601, 116663, 220116, 658, 67278, 5384, 0, 3044, 10499, 1935, 5357
665, 109361, 108703, 119771, 220780, 657, 71095, 5391, 0, 3044, 10548, 1935, 5399
666, 109840, 109181, 109859, 221445, 654, 77902, 5393, 0, 3305, 10841, 1959, 5554
667, 109949, 109289, 117375, 222111, 660, 68460, 5414, 0, 3103, 10832, 1951, 5547
668, 110130, 109469, 119974, 222778, 661, 68940, 5452, 0, 3116, 10787, 1967, 5611
669, 110732, 110070, 111976, 223446, 662, 77805, 5455, 0, 3090, 10911, 1936, 5549
670, 110869, 110206, 119601, 224115, 662, 69003, 5454, 0, 3117, 11095, 1926, 5679
671, 111244, 110580, 111037, 224785, 661, 78553, 5469, 0, 3101, 10598, 1971, 5749
672, 111617, 110952, 120973, 225456, 663, 70298, 5491, 0, 3113, 10669, 1995, 6182
673, 111738, 111072, 113360, 226128, 666, 77085, 5500, 0, 3721, 10480, 1989, 5466
674, 111773, 111106, 120191, 226801, 668, 69329, 5503, 0, 3182, 10510, 1983, 5467
675, 111774, 111106, 116203, 227475, 668, 75643, 5519, 0, 3229, 10521, 1983, 5641
676, 112127, 111458, 120337, 228150, 665, 70716, 5519, 0, 3318, 10259, 2013, 5450
677, 112295, 111625, 113758, 228826, 670, 80119, 5523, 0, 3109, 10724, 1965, 5553
678, 112372, 111701, 119715, 229503, 672, 69692, 5541, 0, 3477, 11064, 2003, 5691
679, 112795, 112123, 114525, 230181, 672, 80656, 5557, 0, 3466, 10864, 1990, 5697
680, 113421, 112748, 122304, 230860, 670, 83429, 5549, 0, 4001, 10798, 1973, 6944
681, 113963, 113289, 129053, 231540, 679, 74996, 5555, 0, 3148, 10787, 2009, 5482
682, 114072, 113397, 121964, 232221, 676, 71571, 5571, 0, 3238, 10782, 2035, 5702
683, 114639, 113963, 123979, 232903, 678, 73067, 5578, 0, 3210, 10937, 1953, 5716
684, 114762, 114085, 128218, 233586, 679, 84640, 5587, 0, 3369, 10927, 1987, 5921
685, 114953, 114275, 115973, 234270, 677, 79446, 5606, 0, 3304, 11210, 1999, 5702
686, 115095, 114416, 123474, 234955, 678, 72463, 5633, 0, 3339, 11005, 1996, 6160
687, 115512, 114832, 121541, 235641, 678, 72230, 5614, 0, 3405, 11091, 2042, 5688
688, 115868, 115187, 124976, 236328, 681, 73285, 5625, 0, 3388, 11150, 2047, 5800
689, 115885, 115203, 122269, 237016, 681, 73889, 5639, 0, 3241, 11400, 2023, 6516
690, 115963, 115280, 123563, 237705, 682, 73273, 5658, 0, 3268, 11350, 2010, 5886
691, 116531, 115847, 121804, 238395, 688, 76354, 5678, 0, 3461, 11647, 1988, 5963
692, 116627, 115942, 127397, 239086, 687, 75484, 5682, 0, 3294, 11526, 2025, 5789
693, 117231, 116545, 126856, 239778, 684, 74558, 5679, 0, 3341, 11372, 2003, 5794
694, 117646, 116959, 138893, 240471, 688, 75093, 5688, 0, 3300, 10770, 2047, 6789
695, 117673, 116985, 124828, 241165, 692, 77344, 5704, 0, 3208, 10997, 2075, 5756
696, 117729, 117040, 125421, 241860, 691, 74140, 5706, 0, 3230, 11280, 2044, 5904
697, 118198, 117508, 124939, 242556, 691, 75831, 5723, 0, 3303, 11077, 2051, 5774
698, 118329, 117638, 124577, 243253, 687, 75425, 5727, 0, 3523, 11491, 2051, 6243
699, 118606, 117914, 123879, 243951, 692, 76106, 5751, 0, 3349, 11607, 2069, 6084
700, 118708, 118015, 126320, 244650, 693, 74055, 5753, 0, 3235, 11385, 2059, 6457
701, 118739, 118045, 124376, 245350, 693, 76444, 5758, 0, 3358, 11181, 2068, 5772
702, 119102, 118407, 124609, 246051, 692, 76745, 5775, 0, 3272, 11043, 2057, 5877
703, 119269, 118573, 125727, 246753, 695, 75951, 5790, 0, 3641, 11509, 2055, 5917
704, 119495, 118798, 127905, 247456, 698, 76882, 5804, 0, 3357, 10848, 2076, 5575
705, 120049, 119351, 120916, 248160, 701, 81934, 5813, 0, 4058, 11185, 2079, 5912
706, 120551, 119852, 127231, 248865, 699, 78391, 5821, 0, 3318, 11698, 2049, 5953
707, 121247, 120547, 127746, 249571, 700, 76874, 5819, 0, 3286, 11610, 2061, 5842
708, 121867, 121166, 132194, 250278, 701, 79544, 5838, 0, 3841, 11609, 2068, 6940
709, 121992, 121290, 129232, 250986, 706, 77975, 5858, 0, 3306, 11330, 2115, 5855
710, 122078, 121375, 130402, 251695, 703, 78069, 5848, 0, 3332, 11428, 2106, 6003
711, 122087, 121383, 128022, 252405, 705, 78217, 5859, 0, 3322, 11618, 2094, 6701
712, 122112, 121407, 127455, 253116, 707, 79307, 5862, 0, 3518, 11673, 2055, 5992
713, 122137, 121431, 128802, 253828, 707, 78131, 5863, 0, 4154, 11688, 2056, 5929
714, 122639, 121932, 130628, 254541, 708, 79609, 5886, 0, 3412, 10960, 2116, 5832
715, 123287, 122579, 133714, 255255, 706, 80167, 5896, 0, 3345, 11642, 2089, 5922
716, 123686, 122977, 131011, 255970, 708, 77888, 5903, 0, 3465, 11253, 2094, 5876
717, 124329, 123619, 137937, 256686, 708, 79923, 5926, 0, 3422, 12433, 2087, 6510
718, 124441, 123730, 130599, 257403, 712, 79310, 5928, 0, 3356, 11341, 2105, 6613
719, 124613, 123901, 135435, 258121, 711, 79959, 5931, 0, 3504, 11559, 2101, 5841
720, 125185, 124472, 138027, 258840, 711, 79567, 5939, 0, 3343, 11268, 2127, 5882
721, 125721, 125007, 130541, 259560, 710, 83013, 5953, 0, 3385, 11514, 2134, 6140
722, 125809, 125094, 134257, 260281, 718, 80261, 5946, 0, 3483, 12102, 2116, 6132
723, 126274, 125558, 139198, 261003, 718, 82930, 5977, 0, 3825, 11967, 2073, 6240
724, 126530, 125813, 139655, 261726, 716, 80020, 5973, 0, 3365, 11346, 2136, 5985
725, 127079, 126361, 137930, 262450, 715, 85711, 5972, 0, 3701, 11967, 2121, 6499
726, 127611, 126892, 139120, 263175, 717, 93924, 5996, 0, 3490, 11736, 2149, 8624
727, 127644, 126924, 139483, 263901, 717, 87142, 5993, 0, 4386, 12178, 2119, 6335
728, 128303, 127582, 141851, 264628, 725, 82691, 6035, 0, 3951, 11609, 2103, 6212
729, 128682, 127960, 135893, 265356, 721, 81865, 6047, 0, 3499, 11830, 2138, 6644
730, 129226, 128503, 143643, 266085, 719, 82313, 6049, 0, 3577, 12041, 2130, 6100
731, 129455, 128731, 139134, 266815, 725, 82475, 6054, 0, 3643, 11128, 2158, 6220
732, 130001, 129276, 138773, 267546, 729, 82391, 6076, 0, 3719, 11815, 2142, 6071
733, 130268, 129542, 137776, 268278, 725, 84954, 6082, 0, 3683, 12000, 2152, 6154
734, 130453, 129726, 135864, 269011, 727, 85322, 6086, 0, 3528, 11579, 2183, 5991
735, 130875, 130147, 138359, 269745, 727, 83315, 6103, 0, 3425, 11803, 2161, 5990
736, 131558, 130829, 143058, 270480, 729, 84048, 6079, 0, 3435, 12385, 2131, 6666
737, 131984, 131254, 147349, 271216, 729, 83784, 6087, 0, 3622, 12207, 2170, 6164
738, 132408, 131677, 142544, 271953, 733, 102469, 6085, 0, 3650, 11871, 2197, 7937
739, 132721, 131989, 146213, 272691, 731, 92658, 6105, 0, 3681, 12268, 2205, 6623
740, 133365, 132632, 146545, 273430, 735, 89235, 6107, 0, 3478, 12144, 2170, 6371
741, 133841, 133107, 143053, 274170, 734, 84730, 6122, 0, 3442, 11470, 2246, 6046
742, 133975, 133240, 150433, 274911, 740, 88080, 6156, 0, 3500, 11633, 2207, 6462
743, 134274, 133538, 145491, 275653, 736, 84546, 6136, 0, 4133, 11677, 2180, 6220
744, 134985, 134248, 146022, 276396, 737, 87213, 6158, 0, 3519, 12350, 2201, 6308
745, 135457, 134719, 145836, 277140, 740, 86558, 6173, 0, 3560, 11820, 2188, 6219
746, 136021, 135282, 146686, 277885, 739, 86360, 6190, 0, 3672, 11610, 2191, 6312
747, 136256, 135516, 145984, 278631, 741, 86308, 6200, 0, 3531, 12047, 2205, 6187
748, 136838, 136097, 153207, 279378, 742, 102079, 6208, 0, 8178, 11971, 2204, 13131
749, 137119, 136377, 155142, 280126, 744, 93120, 6204, 0, 3656, 12617, 2197, 7003
750, 137477, 136734, 159277, 280875, 741, 94048, 6216, 0, 3872, 11972, 2207, 6501
751, 137978, 137234, 153959, 281625, 744, 98632, 6226, 0, 4618, 12377, 2223, 7242
752, 138218, 137473, 157353, 282376, 745, 95912, 6225, 0, 3609, 12424, 2239, 7510
753, 138466, 137720, 154091, 283128, 747, 88087, 6236, 0, 4038, 12169, 2250, 6577
754, 138634, 137887, 152028, 283881, 745, 92483, 6263, 0, 4177, 12128, 2231, 6699
755, 139093, 138345, 151216, 284635, 750, 88647, 6264, 0, 3860, 12204, 2203, 6656
756, 139117, 138368, 150152, 285390, 749, 88292, 6283, 0, 4105, 12246, 2254, 6241
757, 139589, 138839, 145784, 286146, 749, 89341, 6304, 0, 4045, 12548, 2288, 10212
758, 140013, 139262, 152104, 286903, 754, 88324, 6300, 0, 3531, 12133, 2240, 6486
759, 140056, 139304, 152602, 287661, 752, 90291, 6304, 0, 3801, 11931, 2265, 6322
760, 140613, 139860, 156051, 288420, 750, 89381, 6330, 0, 3562, 13057, 2209, 6916
761, 140677, 139923, 149083, 289180, 753, 90859, 6331, 0, 3775, 12871, 2249, 6649
762, 140720, 139965, 154233, 289941, 755, 89420, 6323, 0, 3594, 12791, 2225, 6418
763, 141422, 140666, 149038, 290703, 758, 90951, 6337, 0, 3567, 12563, 2218, 6805
764, 141473, 140716, 154277, 291466, 754, 93416, 6355, 0, 3625, 12668, 2281, 6522
765, 141730, 140972, 147350, 292230, 760, 92627, 6363, 0, 3588, 12870, 2270, 6770
766, 142405, 141646, 158501, 292995, 758, 102305, 6382, 0, 3775, 12588, 2271, 6897
767, 142962, 142202, 153516, 293761, 762, 92879, 6383, 0, 3823, 12732, 2246, 6746
768, 143273, 142512, 157832, 294528, 760, 93991, 6382, 0, 3686, 12558, 2270, 6794
769, 143379, 142617, 154923, 295296, 765, 94346, 6393, 0, 3606, 12516, 2293, 6470
770, 143942, 143179, 153455, 296065, 763, 93309, 6416, 0, 3754, 12497, 2258, 6434
771, 144669, 143905, 153033, 296835, 765, 91272, 6421, 0, 3889, 12828, 2271, 6431
772, 144794, 144029, 157153, 297606, 765, 91320, 6438, 0, 3774, 12758, 2293, 6727
773, 145042, 144276, 152792, 298378, 768, 93171, 6459, 0, 3706, 12903, 2296, 6679
774, 145731, 144964, 153728, 299151, 769, 92495, 6464, 0, 3635, 12821, 2293, 6463
775, 146384, 145616, 156156, 299925, 767, 93020, 6469, 0, 3709, 12466, 2301, 6315
776, 146786, 146017, 156511, 300700, 768, 92448, 6491, 0, 3745, 12816, 2318, 6453
777, 146882, 146112, 156287, 301476, 768, 94266, 6497, 0, 4082, 12919, 2303, 6624
778, 147486, 146715, 156139, 302253, 773, 95058, 6463, 0, 4094, 12834, 2305, 6540
779, 147494, 146722, 154821, 303031, 774, 94454, 6481, 0, 3662, 12748, 2316, 6966
780, 148054, 147281, 155447, 303810, 770, 93594, 6503, 0, 4321, 12416, 2314, 6943
781, 148564, 147790, 166445, 304590, 776, 105047, 6511, 0, 3759, 12478, 2354, 7237
782, 149070, 148295, 167832, 305371, 776, 102362, 6533, 0, 3759, 12740, 2348, 6920
783, 149304, 148528, 171978, 306153, 777, 100358, 6538, 0, 3878, 13113, 2314, 6685
784, 149433, 148656, 159604, 306936, 777, 99935, 6549, 0, 3912, 12698, 2298, 7618
785, 149746, 148968, 161975, 307720, 778, 94957, 6565, 0, 3964, 12768, 2309, 7036
786, 149923, 149144, 159511, 308505, 781, 95508, 6568, 0, 3853, 12637, 2343, 6481
787, 150201, 149421, 161068, 309291, 777, 96218, 6580, 0, 4068, 12762, 2313, 6460
788, 150781, 150000, 169924, 310078, 782, 96152, 6610, 0, 3945, 13167, 2333, 6814
789, 151197, 150415, 162726, 310866, 779, 97471, 6619, 0, 3986, 12880, 2327, 7338
790, 151828, 151045, 157229, 311655, 784, 96759, 6617, 0, 3726, 12915, 2349, 6890
791, 152276, 151492, 162934, 312445, 785, 96712, 6621, 0, 4104, 13085, 2355, 6646
792, 152777, 151992, 179278, 313236, 784, 103722, 6637, 0, 4335, 13086, 2339, 6717
793, 152831, 152045, 164152, 314028, 787, 103464, 6653, 0, 3844, 13268, 2365, 7070
794, 153327, 152540, 162296, 314821, 789, 96353, 6659, 0, 3723, 13386, 2359, 7582
795, 153695, 152907, 216980, 315615, 786, 137291, 6671, 0, 3990, 13535, 2350, 8678
796, 153996, 153207, 178489, 316410, 789, 105856, 6671, 0, 4280, 13140, 2346, 7482
797, 154470, 153680, 161554, 317206, 792, 100817, 6674, 0, 3802, 12918, 2366, 6642
798, 155022, 154231, 171503, 318003, 790, 108766, 6677, 0, 4533, 13314, 2399, 7174
799, 155143, 154351, 171760, 318801, 794, 107516, 6707, 0, 4013, 12685, 2407, 7308
800, 155535, 154742, 175207, 319600, 790, 105963, 6726, 0, 4131, 12777, 2401, 7389
801, 156136, 155342, 169708, 320400, 796, 101056, 6738, 0, 4084, 12858, 2394, 10451
802, 156579, 155784, 199485, 321201, 791, 105730, 6743, 0, 4131, 12979, 2417, 7116
803, 156698, 155902, 169215, 322003, 795, 101520, 6764, 0, 4028, 12830, 2382, 6974
804, 157320, 156523, 192554, 322806, 794, 112572, 6726, 0, 4902, 13242, 2352, 7937
805, 157766, 156968, 185277, 323610, 797, 120195, 6740, 0, 3936, 12826, 2434, 7248
806, 158354, 157555, 180441, 324415, 798, 103041, 6754, 0, 3794, 13480, 2356, 6972
807, 158449, 157649, 172607, 325221, 800, 123531, 6785, 0, 5348, 13929, 2370, 7930
808, 158810, 158009, 184428, 326028, 804, 111340, 6798, 0, 4224, 13547, 2387, 7386
809, 159089, 158287, 180336, 326836, 802, 112526, 6802, 0, 4287, 13496, 2399, 8592
810, 159314, 158511, 182103, 327645, 806, 109743, 6808, 0, 4231, 13425, 2358, 7163
811, 159413, 158609, 182590, 328455, 805, 110185, 6843, 0, 4413, 13222, 2366, 7186
812, 159826, 159021, 175602, 329266, 806, 105584, 6836, 0, 4462, 13014, 2438, 6610
813, 160638, 159833, 169380, 330078, 807, 107297, 6845, 0, 4207, 14294, 2394, 7583
814, 160881, 160075, 191226, 330891, 805, 110427, 6839, 0, 4051, 13718, 2422, 7324
815, 161504, 160697, 192155, 331705, 809, 119221, 6850, 0, 4008, 13481, 2402, 8804
816, 161917, 161109, 176503, 332520, 809, 113660, 6876, 0, 4264, 13216, 2416, 7469
817, 162712, 161903, 178107, 333336, 811, 112261, 6887, 0, 3974, 13897, 2409, 7683
818, 163281, 162471, 183765, 334153, 812, 111812, 6905, 0, 4357, 13434, 2426, 7921
819, 163815, 163004, 179804, 334971, 811, 113272, 6916, 0, 4108, 13637, 2420, 8361
820, 164619, 163807, 176546, 335790, 814, 101584, 6913, 0, 3871, 14460, 2435, 7329
821, 164794, 163981, 203625, 336610, 814, 117241, 6921, 0, 4256, 13501, 2444, 8158
822, 165287, 164473, 181317, 337431, 816, 115268, 6926, 0, 4945, 13486, 2453, 7404
823, 165660, 164845, 173930, 338253, 814, 108925, 6912, 0, 4319, 13172, 2463, 6931
824, 165887, 165071, 175968, 339076, 817, 108727, 6955, 0, 4263, 13748, 2436, 8119
825, 166452, 165635, 186090, 339900, 818, 106837, 6959, 0, 8709, 13592, 2471, 7088
826, 166845, 166027, 177734, 340725, 819, 115409, 6995, 0, 4095, 14015, 2489, 7414
827, 167199, 166380, 174970, 341551, 818, 111071, 6995, 0, 3966, 13298, 2481, 6942
828, 167618, 166798, 191861, 342378, 818, 113417, 6979, 0, 3908, 13587, 2484, 7373
829, 168388, 167567, 192499, 343206, 825, 118995, 7007, 0, 4206, 14081, 2509, 8539
830, 168523, 167701, 198161, 344035, 823, 117701, 7011, 0, 4033, 13834, 2492, 8834
831, 168741, 167918, 196396, 344865, 821, 115611, 6981, 0, 4642, 13563, 2461, 7313
832, 168948, 168124, 190560, 345696, 826, 115286, 7025, 0, 3953, 13437, 2457, 7540
833, 169199, 168374, 202514, 346528, 826, 119994, 7033, 0, 4095, 14015, 2469, 7523
834, 169776, 168950, 201072, 347361, 823, 121761, 7049, 0, 4642, 13739, 2519, 7433
835, 170525, 169698, 190519, 348195, 829, 117333, 7060, 0, 4033, 13997, 2481, 7799
836, 171248, 170420, 202052, 349030, 830, 114072, 7061, 0, 4727, 14459, 2491, 8827
837, 171285, 170456, 192190, 349866, 832, 115500, 7079, 0, 3968, 13700, 2489, 7134
838, 171684, 170854, 189669, 350703, 830, 116122, 7093, 0, 4353, 13780, 2509, 7262
839, 172305, 171474, 195042, 351541, 833, 117058, 7096, 0, 4139, 13701, 2515, 7196
840, 172423, 171591, 183774, 352380, 835, 112650, 7102, 0, 4318, 13926, 2530, 7055
841, 173152, 172319, 198011, 353220, 831, 113624, 7123, 0, 4109, 13618, 2525, 7651
842, 173703, 172869, 192852, 354061, 833, 108832, 7136, 0, 4075, 13665, 2559, 6948
843, 174085, 173250, 196215, 354903, 836, 115276, 7154, 0, 4378, 14174, 2529, 8456
844, 174114, 173278, 189249, 355746, 835, 117754, 7168, 0, 8162, 13900, 2514, 7629
845, 174157, 173320, 189499, 356590, 836, 122313, 7183, 0, 4262, 13936, 2520, 7164
846, 174880, 174042, 191071, 357435, 841, 108604, 7171, 0, 4016, 13969, 2526, 7133
847, 174932, 174093, 199165, 358281, 841, 121603, 7152, 0, 4579, 14714, 2490, 7425
848, 175263, 174423, 185858, 359128, 839, 108099, 7186, 0, 4115, 14083, 2525, 7085
849, 175672, 174831, 205037, 359976, 840, 117498, 7195, 0, 4105, 14003, 2546, 7531
850, 176426, 175584, 204672, 360825, 842, 109781, 7203, 0, 4175, 14641, 2550, 7643
851, 176513, 175670, 187431, 361675, 845, 122631, 7229, 0, 4568, 14666, 2553, 7722
852, 176555, 175711, 209335, 362526, 847, 114049, 7212, 0, 4044, 14297, 2519, 7277
853, 176938, 176093, 187375, 363378, 846, 122129, 7226, 0, 4517, 13862, 2580, 7899
854, 177341, 176495, 202754, 364231, 848, 126346, 7245, 0, 4239, 14127, 2576, 7563
855, 177841, 176994, 190228, 365085, 852, 114724, 7266, 0, 4055, 14283, 2559, 7369
856, 178639, 177791, 204189, 365940, 849, 116641, 7248, 0, 4279, 14383, 2579, 7958
857, 178901, 178052, 188451, 366796, 849, 116142, 7258, 0, 7102, 14008, 2565, 7282
858, 178970, 178120, 201446, 367653, 848, 119110, 7278, 0, 4095, 14947, 2573, 7629
859, 179495, 178644, 204969, 368511, 847, 114894, 7295, 0, 4434, 13958, 2597, 7451
860, 180093, 179241, 188290, 369370, 857, 118785, 7304, 0, 7692, 13888, 2607, 7340
861, 180702, 179849, 191645, 370230, 852, 127103, 7302, 0, 4309, 13806, 2588, 7250
862, 180934, 180080, 193333, 371091, 854, 118439, 7317, 0, 4122, 14413, 2569, 7283
863, 181273, 180418, 190177, 371953, 856, 117146, 7321, 0, 5846, 13842, 2623, 9392
864, 181413, 180557, 190489, 372816, 856, 121547, 7370, 0, 4248, 14570, 2602, 7642
865, 181683, 180826, 196073, 373680, 856, 118852, 7379, 0, 4199, 14125, 2600, 7188
866, 182401, 181543, 202929, 374545, 862, 121735, 7375, 0, 4312, 14618, 2564, 7295
867, 182855, 181996, 201594, 375411, 865, 121112, 7408, 0, 4260, 14100, 2630, 7331
868, 183020, 182160, 203254, 376278, 861, 119849, 7391, 0, 4217, 14321, 2599, 7220
869, 183102, 182241, 191072, 377146, 864, 123745, 7413, 0, 4320, 14667, 2592, 7717
870, 183590, 182728, 216646, 378015, 862, 115443, 7414, 0, 4194, 14392, 2667, 7610
871, 184059, 183196, 197192, 378885, 862, 127279, 7416, 0, 8372, 14225, 2634, 7874
872, 184494, 183630, 203241, 379756, 864, 130757, 7428, 0, 4362, 14753, 2623, 8093
873, 184904, 184039, 208916, 380628, 869, 116091, 7434, 0, 4273, 14285, 2654, 7480
874, 185769, 184903, 205063, 381501, 864, 120017, 7448, 0, 8587, 15381, 2607, 8244
875, 186335, 185468, 201351, 382375, 867, 125740, 7457, 0, 4155, 14444, 2621, 7538
876, 186596, 185728, 208610, 383250, 872, 118130, 7469, 0, 4360, 14503, 2621, 10995
877, 187370, 186501, 205197, 384126, 867, 125171, 7483, 0, 4230, 15326, 2608, 7623
878, 187806, 186936, 202266, 385003, 874, 124910, 7485, 0, 4188, 14640, 2655, 7500
879, 188424, 187553, 203540, 385881, 875, 122280, 7491, 0, 4268, 14445, 2645, 7672
880, 188857, 187985, 218837, 386760, 870, 132271, 7503, 0, 4330, 14757, 2661, 7688
881, 189269, 188396, 210998, 387640, 873, 131562, 7516, 0, 4216, 14721, 2649, 7515
882, 190122, 189248, 207376, 388521, 874, 125733, 7536, 0, 4353, 15076, 2679, 7787
883, 190919, 190044, 208865, 389403, 877, 122872, 7546, 0, 5615, 15220, 2655, 11952
884, 191059, 190183, 210965, 390286, 872, 127007, 7538, 0, 4804, 15254, 2681, 8340
885, 191692, 190815, 207902, 391170, 881, 133711, 7555, 0, 4249, 14873, 2646, 7623
886, 191875, 190997, 209105, 392055, 879, 127555, 7548, 0, 4229, 14443, 2685, 7531
887, 192235, 191356, 219158, 392941, 882, 119519, 7547, 0, 4227, 14551, 2686, 7423
888, 192531, 191651, 225289, 393828, 881, 122894, 7567, 0, 4245, 15414, 2665, 7757
889, 192951, 192070, 221734, 394716, 880, 129208, 7566, 0, 4262, 15412, 2673, 7711
890, 193398, 192516, 216854, 395605, 881, 128832, 7585, 0, 4407, 14943, 2700, 7613
891, 193500, 192617, 221691, 396495, 880, 129037, 7594, 0, 4388, 15173, 2697, 7711
892, 193552, 192668, 207565, 397386, 884, 126958, 7612, 0, 4583, 15267, 2687, 7864
893, 193585, 192700, 216750, 398278, 882, 122393, 7644, 0, 4275, 15309, 2685, 7919
894, 193678, 192792, 213464, 399171, 886, 130041, 7637, 0, 4534, 14709, 2734, 7614
895, 194541, 193654, 210183, 400065, 888, 123448, 7637, 0, 4701, 15838, 2629, 11459
896, 195241, 194353, 216992, 400960, 890, 137823, 7673, 0, 5421, 14458, 2698, 7860
897, 196042, 195153, 216342, 401856, 887, 129498, 7683, 0, 5536, 14951, 2701, 10366
898, 196504, 195614, 209275, 402753, 893, 132292, 7680, 0, 4330, 15450, 2693, 7746
899, 196543, 195652, 209025, 403651, 895, 122277, 7702, 0, 4333, 14991, 2696, 7572
900, 197072, 196180, 232362, 404550, 890, 149242, 7696, 0, 4566, 15706, 2670, 9987
901, 197455, 196562, 221770, 405450, 892, 138785, 7709, 0, 5099, 15848, 2670, 9227
902, 197547, 196653, 235964, 406351, 895, 133343, 7717, 0, 4565, 15517, 2654, 8925
903, 198291, 197396, 219859, 407253, 898, 132864, 7734, 0, 4432, 14869, 2724, 8141
904, 199150, 198254, 222261, 408156, 897, 139443, 7728, 0, 4433, 15366, 2687, 8534
905, 199628, 198731, 242025, 409060, 898, 135594, 7732, 0, 5133, 14949, 2765, 8511
906, 200276, 199378, 231285, 409965, 898, 149340, 7754, 0, 4464, 15164, 2742, 7939
907, 200436, 199537, 235539, 410871, 898, 151298, 7770, 0, 4771, 14857, 2760, 8565
908, 200799, 199899, 219431, 411778, 901, 131226, 7779, 0, 4645, 15147, 2778, 8198
909, 201489, 200588, 237379, 412686, 897, 136199, 7792, 0, 4352, 14963, 2743, 7696
910, 201765, 200863, 239233, 413595, 904, 127015, 7799, 0, 4360, 15409, 2732, 7815
911, 201992, 201089, 212370, 414505, 906, 148833, 7835, 0, 4488, 15162, 2755, 11342
912, 202687, 201783, 236906, 415416, 905, 129792, 7810, 0, 4655, 15421, 2758, 8111
913, 203478, 202573, 227275, 416328, 906, 128341, 7829, 0, 4358, 15364, 2744, 8042
914, 204289, 203383, 251996, 417241, 909, 142420, 7835, 0, 4595, 15944, 2708, 9059
915, 204806, 203899, 240852, 418155, 905, 144995, 7851, 0, 4795, 15195, 2752, 8290
916, 205093, 204185, 215552, 419070, 906, 145849, 7852, 0, 4396, 15724, 2756, 8045
917, 205614, 204705, 222068, 419986, 912, 127860, 7869, 0, 7801, 15765, 2792, 8482
918, 205949, 205039, 236767, 420903, 909, 135097, 7862, 0, 4629, 14701, 2805, 8026
919, 206404, 205493, 216775, 421821, 911, 151692, 7894, 0, 5103, 15014, 2823, 8217
920, 206461, 205549, 234145, 422740, 910, 138506, 7912, 0, 4521, 15641, 2794, 11577
921, 206521, 205608, 237262, 423660, 913, 128993, 7933, 0, 4416, 15623, 2802, 7873
922, 207106, 206192, 223916, 424581, 917, 129451, 7939, 0, 4422, 14848, 2816, 7818
923, 207530, 206615, 222142, 425503, 918, 144402, 7943, 0, 4424, 15602, 2801, 8860
924, 208381, 207465, 226935, 426426, 913, 130564, 7937, 0, 4633, 16368, 2757, 8829
925, 208812, 207895, 223690, 427350, 918, 144890, 7955, 0, 4545, 16565, 2771, 8603
926, 209680, 208762, 231523, 428275, 918, 143106, 7965, 0, 4714, 15851, 2798, 8232
927, 209718, 208799, 232189, 429201, 921, 129390, 7975, 0, 4582, 15521, 2774, 7985
928, 209735, 208815, 228848, 430128, 921, 136645, 7981, 0, 4449, 15899, 2781, 8164
929, 210153, 209232, 225135, 431056, 921, 139198, 7990, 0, 5596, 15357, 2857, 7844
930, 210454, 209532, 218667, 431985, 917, 141086, 8005, 0, 4982, 15350, 2838, 11094
