n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time, quick_cmp, quick_swaps, quick_time 
425, 45218, 44799, 43735, 90100, 418, 30117, 3175, 0, 1842, 6358, 1172, 3739
426, 45420, 45000, 45008, 90525, 419, 29754, 3185, 0, 1912, 6157, 1226, 4113
427, 45482, 45061, 45424, 90951, 420, 26905, 3194, 0, 2531, 6224, 1185, 4942
428, 45531, 45109, 46925, 91378, 422, 27854, 3192, 0, 1814, 6485, 1200, 3686
429, 45699, 45276, 48635, 91806, 423, 27761, 3205, 0, 1875, 6467, 1194, 3517
430, 45713, 45289, 49444, 92235, 424, 28453, 3208, 0, 1874, 6664, 1188, 3704
431, 45755, 45330, 47802, 92665, 425, 28683, 3218, 0, 1877, 6619, 1184, 3701
432, 45808, 45382, 46259, 93096, 425, 30413, 3242, 0, 2048, 6603, 1181, 3850
433, 46132, 45705, 45636, 93528, 425, 31237, 3253, 0, 2684, 6811, 1190, 3645
434, 46327, 45899, 46183, 93961, 427, 27536, 3260, 0, 1853, 6627, 1197, 4213
435, 46383, 45954, 49058, 94395, 426, 28982, 3266, 0, 1860, 6380, 1228, 3693
436, 46533, 46103, 50287, 94830, 427, 28960, 3271, 0, 1911, 6292, 1191, 3692
437, 46714, 46283, 50167, 95266, 428, 28765, 3281, 0, 1858, 6454, 1207, 3916
438, 46827, 46395, 49522, 95703, 432, 28908, 3295, 0, 1992, 6429, 1227, 3562
439, 46950, 46517, 45710, 96141, 432, 32330, 3293, 0, 2175, 6413, 1223, 3434
440, 46984, 46550, 49055, 96580, 431, 31857, 3306, 0, 2236, 6607, 1206, 3490
441, 47226, 46791, 46794, 97020, 434, 28555, 3316, 0, 2558, 6536, 1242, 5081
442, 47280, 46844, 48577, 97461, 435, 28588, 3307, 0, 2397, 6315, 1228, 3515
443, 47294, 46857, 49726, 97903, 436, 29213, 3310, 0, 1998, 6343, 1235, 3599
444, 47481, 47043, 50219, 98346, 438, 29433, 3332, 0, 1940, 6422, 1255, 3705
445, 47907, 47468, 50311, 98790, 438, 29383, 3331, 0, 1932, 6704, 1265, 3757
